# 未闻花名 anohana 烛子ikina
# Converted from SkyStudio format
# BPM: 500
# Total chords: 662

Time,Keys,Duration
1.32,p,0.12
1.44,k,0.36
1.80,l,0.12
1.92,hloy,0.36
2.28,;,0.12
2.40,;,0.36
2.76,;,0.12
2.88,;hko,0.36
3.24,;,0.48
3.72,;,0.12
3.84,jpu,0.36
4.20,l,0.12
4.32,l,0.36
4.68,l,0.12
4.80,jlp,0.36
5.16,l,0.48
5.64,l,0.12
5.76,hi,0.36
6.12,k,0.12
6.24,k,0.36
6.60,k,0.12
6.72,hik,0.36
7.08,k,0.48
7.56,k,0.12
7.68,i,0.36
8.04,p,0.12
8.16,p,0.36
8.52,p,0.12
8.64,iu,0.36
9.00,p,0.12
9.12,k,0.36
9.48,l,0.12
9.60,hloy,0.36
9.96,;,0.12
10.08,;,0.36
10.44,;,0.12
10.56,;hko,0.36
10.92,;,0.12
11.04,;,0.36
11.40,m,0.12
11.52,jpu,0.36
11.88,;,0.12
12.00,;,0.36
12.36,;,0.12
12.48,;jp,0.36
12.84,;,0.12
12.96,l,0.36
13.32,k,0.12
13.44,kly,0.48
13.92,;i,0.36
14.28,;,0.12
14.40,p,0.48
14.88,i,0.48
15.36,ikp,0.48
15.84,i,0.48
16.32,jpu,0.48
16.80,lu,0.36
17.16,;,0.12
17.28,hloy,0.36
17.64,k,0.12
17.76,o,0.36
18.12,k,0.12
18.24,ho,0.48
18.72,o,0.48
19.20,hoy,0.48
19.68,o,0.48
20.16,jpu,0.48
20.64,lp,0.36
21.00,;,0.12
21.12,kly,0.36
21.48,k,0.12
21.60,i,0.36
21.96,k,0.12
22.08,p,0.48
22.56,i,0.48
23.04,kpy,1.92
24.96,hkoy,0.36
25.32,k,0.12
25.44,k,0.36
25.80,k,0.12
25.92,k,0.48
26.40,k,0.48
26.88,k,0.36
27.24,k,0.12
27.36,j,0.36
27.72,p,0.12
27.84,o,0.48
28.32,y,0.36
28.68,p,0.12
28.80,iky,0.36
29.16,k,0.12
29.28,k,0.36
29.64,k,0.12
29.76,k,0.48
30.24,k,0.48
30.72,k,0.36
31.08,k,0.12
31.20,j,0.36
31.56,p,0.12
31.68,i,0.48
32.16,y,0.48
32.64,hkoy,0.36
33.00,k,0.12
33.12,k,0.36
33.48,k,0.12
33.60,ko,0.48
34.08,ky,0.48
34.56,jlpu,0.36
34.92,p,0.48
35.40,p,0.12
35.52,u,0.36
35.88,p,0.12
36.00,p,0.36
36.36,i,0.12
36.48,ip,0.48
36.96,h,0.36
37.32,h,0.12
37.44,i,0.96
38.40,iu,0.96
39.36,u,0.96
40.32,hkoy,0.36
40.68,k,0.12
40.80,k,0.36
41.16,k,0.12
41.28,ko,0.48
41.76,ky,0.48
42.24,koy,0.36
42.60,k,0.12
42.72,j,0.36
43.08,p,0.12
43.20,o,0.48
43.68,y,0.36
44.04,p,0.12
44.16,iky,0.36
44.52,k,0.12
44.64,k,0.36
45.00,k,0.12
45.12,ik,0.48
45.60,ky,0.48
46.08,iky,0.36
46.44,k,0.12
46.56,j,0.36
46.92,p,0.12
47.04,i,0.48
47.52,y,0.48
48.00,hkoy,0.36
48.36,k,0.12
48.48,k,0.36
48.84,k,0.12
48.96,ko,0.36
49.32,k,0.12
49.44,y,0.24
49.68,k,0.24
49.92,jlpu,0.36
50.28,p,0.48
50.76,p,0.12
50.88,u,0.36
51.24,p,0.12
51.36,p,0.36
51.72,i,0.12
51.84,ip,0.48
52.32,h,0.36
52.68,h,0.12
52.80,i,0.48
53.28,j,0.48
53.76,ik,0.48
54.24,i,0.48
54.72,ju,0.48
55.20,u,0.48
55.68,hoy,0.48
56.16,y,0.48
56.64,oy,0.36
57.00,h,0.12
57.12,hy,0.36
57.48,p,0.12
57.60,hpu,0.36
57.96,j,0.12
58.08,ju,0.36
58.44,j,0.12
58.56,pu,0.36
58.92,j,0.12
59.04,ju,0.36
59.40,h,0.12
59.52,hij,0.36
59.88,k,0.12
60.00,ik,0.36
60.36,k,0.12
60.48,i,0.36
60.84,p,0.12
60.96,ip,0.36
61.32,i,0.12
61.44,ip,0.48
61.92,hi,0.36
62.28,h,0.12
62.40,iu,0.48
62.88,i,0.48
63.36,hoy,0.48
63.84,y,0.48
64.32,oy,0.36
64.68,h,0.12
64.80,hy,0.36
65.16,p,0.12
65.28,hpu,0.36
65.64,j,0.12
65.76,ju,0.36
66.12,j,0.12
66.24,pu,0.36
66.60,j,0.12
66.72,ju,0.36
67.08,h,0.12
67.20,jy,0.48
67.68,ik,0.36
68.04,k,0.12
68.16,p,0.48
68.64,i,0.48
69.12,ik,0.48
69.60,i,0.48
70.08,ju,0.48
70.56,lu,0.36
70.92,;,0.12
71.04,hloy,0.36
71.40,k,0.12
71.52,o,0.36
71.88,h,0.12
72.00,oy,0.48
72.48,hl,0.36
72.84,;,0.12
72.96,jlpu,0.36
73.32,k,0.12
73.44,p,0.36
73.80,h,0.12
73.92,pu,0.48
74.40,jl,0.36
74.76,;,0.12
74.88,hil,0.48
75.36,ik,0.36
75.72,p,0.12
75.84,i,0.36
76.20,p,0.12
76.32,ip,0.36
76.68,i,0.12
76.80,ip,0.48
77.28,hi,0.36
77.64,h,0.12
77.76,iu,0.48
78.24,;hi,0.48
78.72,hloy,0.48
79.20,ko,0.36
79.56,h,0.12
79.68,oy,0.48
80.16,hlo,0.36
80.52,;,0.12
